城市,行政区,小区地址,小区名称,小区户型,户型类型,面积,租金,租金付款方式,更新时间
杭州,西湖-翠苑,隐秀路380号,庆隆苑西区,3室1厅,1.标准平面,16,1260,付1押1,2019年7月15日
杭州,西湖-九莲,文三路356号,九莲新村,3室1厅,1.标准平面,18,2220,付1押1,2019年7月11日
杭州,钱塘新区-下沙物美,文渊北路,东城大厦,3室1厅,1.标准平面,16,1400,付1押1,2019年7月4日
杭州,江干-九堡科技园,九环路60号,华鸿罗兰春天,3室1厅,1.标准平面,16,1800,付1押1,2019年7月17日
杭州,西湖-西湖景区,桃花弄,桃花弄小区,3室1厅,1.标准平面,20,1440,付1押1,2019年7月2日
杭州,钱塘新区-下沙江滨,25号路88号,世茂江滨花园碧景湾,3室1厅,1.标准平面,17,1400,付1押1,2019年7月17日
杭州,滨江-区政府,"丹枫路,近飞虹路",绿地旭辉大厦,3室1厅,1.标准平面,16,1340,付1押1,2019年7月3日
杭州,拱墅-湖墅,密渡桥路3号,武林公寓,3室1厅,1.标准平面,16,2040,付1押1,2019年7月17日
杭州,钱塘新区-下沙江滨,"之江东路,近6号大街",保利江语海,3室1厅,1.标准平面,16,1160,付1押1,2019年7月17日
杭州,西湖-翠苑,"学院路,近文一路",翠苑二区,3室1厅,1.标准平面,18,1460,付1押1,2019年7月10日
杭州,杭州周边-湖州,环城北路156号,河畔居,3室1厅,1.标准平面,18,1340,付1押1,2019年7月8日
杭州,余杭-乔司,杭海路1699号,品立方,3室1厅,1.标准平面,18,1060,付1押1,2019年7月17日
杭州,萧山-开发区,"振宁路,近金鸡路",万科大家世纪之光,3室1厅,1.标准平面,17,1840,付1押1,2019年7月17日
杭州,下城-天水,昌化路12号,昌化路小区,3室1厅,1.标准平面,18,2020,付1押1,2019年7月5日
杭州,钱塘新区-下沙江滨,"16号大街,近23号大街",世茂江滨花园瑞景湾,3室1厅,1.标准平面,16,1420,付1押1,2019年7月4日
杭州,江干-南肖埠,太平门直街88号,南肖埠庆和苑,2室1厅,1.标准平面,18.81,1700,付1押1,2019年6月25日
杭州,江干-九堡科技园,九环路60号,华鸿罗兰春天,3室1厅,1.标准平面,20,1560,付1押1,2019年7月11日
杭州,钱塘新区-金沙湖,"银沙路,近高沙路",新沙家园,3室1厅,1.标准平面,18,1480,付1押1,2019年7月10日
杭州,上城-近江,钱江路483号,望江家园东园,3室1厅,1.标准平面,20,1560,付1押1,2019年7月11日
杭州,西湖-紫金港,古墩路673号,瑞博国际,3室1厅,1.标准平面,18,1060,付1押1,2019年7月4日
杭州,钱塘新区-下沙江湾,学林街323号,宝龙云滨湾(别墅),3室1厅,1.标准平面,20,1640,付1押1,2019年7月15日
杭州,江干-笕桥,笕丁路168号,大世界五金城,3室1厅,1.标准平面,19,1280,付1押1,2019年7月17日
杭州,江干-南肖埠,"金川弄,近凤起东路",华家池39号院,3室1厅,1.标准平面,20,1660,付1押1,2019年7月11日
杭州,萧山-开发区,"宁东路,近建设一路",东方一号,3室1厅,1.标准平面,17,1700,付1押1,5026年8月28日
杭州,萧山-开发区,建设一路,德信君宸,3室1厅,1.标准平面,100,4800,付3押1,2019年7月16日
杭州,拱墅-申花,萍水街450号,昆仑橡树园,3室1厅,1.标准平面,17,1320,付1押1,2019年7月17日
杭州,西湖-西湖三墩,灯彩街567号,华彩国际,3室1厅,1.标准平面,19,1360,付1押1,2019年7月3日
杭州,西湖-西湖三墩,西园八路,金地自在城鹭影轩,3室3厅,1.标准平面,150,3800,付3押2,2019年7月13日
杭州,滨江-区政府,春晓路529号,江南星座,2室1厅,1.标准平面,17.64,2480,付1押1,2019年7月5日
杭州,江干-九堡客运站,九乔路,九月庭院,3室1厅,1.标准平面,15,1360,付1押1,2019年7月11日
杭州,江干-南肖埠,凯旋路258号,华家池小区,3室1厅,1.标准平面,19,2120,付1押1,2019年7月11日
杭州,西湖-古墩路,古墩路571号,星洲花园北区(别墅),3室1厅,1.标准平面,18,1520,付1押1,2019年7月4日
杭州,钱塘新区-金沙湖,"海通街,近月雅路",头格月雅城,3室1厅,1.标准平面,16,1320,付1押1,2019年7月17日
杭州,滨江-浦沿,东信大道1038号,联庄江涛阁,3室1厅,1.标准平面,17,1540,付1押1,2019年7月4日
杭州,江干-丁桥,"紫丁香街,近丁桥路",天阳晴朗,3室1厅,1.标准平面,16,1060,付1押1,2019年7月10日
杭州,萧山-城厢,江寺路75号,万向城市花园,3室1厅,1.标准平面,17,1000,付1押1,2019年7月17日
杭州,上城-南星,直箭道巷16号,候潮门社区,2室1厅,1.标准平面,65,3000,面议,2019年7月12日
杭州,下城-朝晖,朝晖路205号,深蓝广场,3室1厅,1.标准平面,18,1760,付1押1,2019年7月17日
杭州,拱墅-和睦,小河路42号,广兴新村,3室1厅,1.标准平面,20,1490,付1押1,2019年7月11日
杭州,下城-环北丝绸城附近,健康路27号,健康公寓,3室1厅,1.标准平面,130,8000,付3押1,2019年7月14日
杭州,江干-火车东站,全福桥路439号,天阳文晖,3室1厅,1.标准平面,17,1700,付1押1,2019年7月17日
杭州,滨江-区政府,"闻涛路,近通和路",金铂湾,3室1厅,1.标准平面,18,1380,付1押1,2019年7月16日
杭州,拱墅-桥西,花园岗街46号,锦文雅苑(东区),3室1厅,1.标准平面,18,1360,付1押1,2019年7月15日
杭州,西湖-紫金港,古墩路673号,瑞博国际,3室1厅,1.标准平面,19,1800,付1押1,2019年7月10日
杭州,江干-城东新城,"闸弄口路,近天仙庙路",天晖铭园,3室1厅,1.标准平面,17,1840,付1押1,2019年7月11日
杭州,萧山-北干,金城路98号,星河景庭,3室1厅,1.标准平面,17,1060,付1押1,2019年7月10日
杭州,西湖-翠苑,隐秀路380号,庆隆苑西区,2室1厅,1.标准平面,65,3200,面议,2019年7月15日
杭州,下城-凤起,凤起路479号,龙兴桥河下,3室1厅,1.标准平面,15,1520,付1押1,2019年7月15日
杭州,萧山-钱江世纪城,"耕文路,近纬十一路",中骏钱塘御景,3室1厅,1.标准平面,18,1260,付1押1,2019年7月11日
杭州,西湖-嘉绿,文三西路178号,富丽苑,3室1厅,1.标准平面,17,1960,付1押1,2019年7月10日
杭州,西湖-古荡,益乐路20号,益乐路20号小区,3室1厅,1.标准平面,17,2200,付1押1,2019年6月24日
杭州,萧山-开发区,建设一路107号,市北公寓,3室1厅,1.标准平面,20,1640,付1押1,2019年7月17日
杭州,江干-城东新城,"全福桥路,近机场路",天阳尚城国际,3室1厅,1.标准平面,15,2000,付1押1,2019年7月17日
杭州,滨江-浦沿,"火炬大道,近西湘路",火炬小区,3室1厅,1.标准平面,20,1860,付1押1,2019年7月11日
杭州,西湖-九莲,保俶北路12号,启真名苑,3室1厅,1.标准平面,15,2020,付1押1,0239年25月24日
杭州,下城-石桥,石桥路143号,金禾嘉苑,3室1厅,1.标准平面,18,1360,付1押1,2019年7月5日
杭州,萧山-北干,"博学路,近金鸡路",丰润家园,4室1厅,1.标准平面,16,1300,付2押1,2019年7月8日
杭州,西湖-翠苑,万塘路353号,翠苑四区南园,3室1厅,1.标准平面,18,1300,付1押1,2019年7月11日
杭州,余杭-未来科技城,文一西路,西溪蓝海(商住楼),3室1厅,1.标准平面,16,1820,付1押1,2019年7月17日
杭州,下城-三塘,白石路,利兹水印康庭(商住楼),3室1厅,1.标准平面,17,1000,付1押1,2019年7月10日
杭州,钱塘新区-下沙江湾,"23号大街,近学府街",蒲公英天地,3室1厅,1.标准平面,17,1820,付1押1,2019年7月9日
杭州,江干-三里亭,池塘庙路25号,广利佳苑,3室1厅,1.标准平面,17,1180,付1押1,2019年7月17日
杭州,江干-城东新城,天城路196号,神州白云大厦,3室1厅,1.标准平面,16,2180,付1押1,2019年7月17日
杭州,西湖-转塘,"沈家路,近转塘横路",横桥沈合苑,3室1厅,1.标准平面,17,1660,付1押1,2019年7月8日
杭州,余杭-乔司,方塘埠路,胜稼红星嘉园二区,3室1厅,1.标准平面,89,3800,付3押1,2019年7月16日
杭州,江干-九堡科技园,九州路19号,华鸿汇盛德堡,3室1厅,1.标准平面,15,1780,付1押1,2019年7月17日
杭州,西湖-转塘,"霞鸣街,近象山路",定山家园,2室1厅,1.标准平面,60,2900,付3押1,2019年7月14日
杭州,西湖-文苑,天目山路396号,山水人家,3室2厅,1.标准平面,120,3800,付1押1,2019年7月10日
杭州,拱墅-汽车北站,丽晶湾路99号,祥符佳苑,3室1厅,1.标准平面,16,1180,付1押1,2019年7月16日
杭州,下城-宝善,长运路,木庵小区,3室1厅,1.标准平面,18,2360,付1押1,2019年7月5日
杭州,余杭-五常,"城西高教路,近青石滩河路",溪悦宸府,3室1厅,1.标准平面,18,1460,付1押1,2019年7月16日
杭州,上城-复兴,"紫花路,近复兴路",紫花苑(北区),1室1厅,1.标准平面,45,2800,付3押1,2019年7月15日
杭州,滨江-钱江湾,六和路365号,贺田尚城,3室1厅,1.标准平面,17,1320,付1押1,2019年7月11日
杭州,萧山-北干,永久路368号,开元名都,3室1厅,1.标准平面,16,1040,付1押1,2019年7月11日
杭州,江干-钱江新城,"庆春东路,近钱江路",万象城悦玺,1室2厅,1.标准平面,81,7200,面议,2019年7月14日
杭州,拱墅-德胜,假山路32号,盛德嘉苑,1室厅,1.标准平面,17,1980,付1押1,2019年7月2日
杭州,钱塘新区-下沙江滨,学正街865号,阳光华城华翠园,3室1厅,1.标准平面,19,1100,付1押1,2019年7月17日
杭州,下城-凤起,健康路163号,十五家园,3室1厅,1.标准平面,20,2120,付1押1,2019年7月17日
杭州,滨江-西兴,聚园路66号,滨康小区,2室1厅,1.标准平面,15.2,2320,付1押1,2019年6月22日
杭州,江干-凯旋/采荷,青玉路1号,采荷小区玉荷,3室1厅,1.标准平面,17,2000,付1押1,2019年7月15日
杭州,萧山-北干,工人路899号,新白马公寓,3室2厅,1.标准平面,134,7000,付3押1,2019年7月12日
杭州,江干-彭埠,"塘工局路,近章家坝弄",云河家园,3室1厅,1.标准平面,18,1300,付1押1,2019年7月17日
杭州,拱墅-拱宸桥,科园路223号,隽逸花苑,3室1厅,1.标准平面,17,1400,付1押1,2019年7月16日
杭州,滨江-区政府,西兴路1190号,湘云雅苑,3室1厅,1.标准平面,16,1820,付1押1,2019年7月6日
杭州,江干-城东新城,机场路285号,滨江曙光之城,3室1厅,1.标准平面,17,1420,付1押1,2019年7月11日
杭州,西湖-西湖三墩,"天虹街,近紫荆花北路",天虹公寓,1室1厅,1.标准平面,56,2700,面议,2019年7月16日
杭州,西湖-西湖三墩,振华路10号,中旅紫金名门,3室1厅,1.标准平面,18,1460,付1押1,2019年7月11日
杭州,拱墅-大关,"大关苑西路,近大苑路",大关西八苑,1室厅,1.标准平面,17,1960,付1押1,2019年7月12日
杭州,滨江-西兴,"西兴路,近滨盛路",滨江金茂府(公寓),3室1厅,1.标准平面,15,1800,付1押1,2019年7月11日
杭州,余杭-乔司,东湖北路,供电局宿舍,3室1厅,1.标准平面,18,1480,付1押1,2019年7月11日
杭州,拱墅-大关,德苑路44号,大关南六苑,3室1厅,1.标准平面,17,1400,付1押1,2019年7月15日
杭州,滨江-区政府,江汉路1786号,钱龙大厦,3室1厅,1.标准平面,16,1400,付1押1,2019年7月11日
杭州,萧山-开发区,"博奥路,近建设四路",龙湖春江天玺(别墅),3室1厅,1.标准平面,18,1340,付1押1,2019年7月11日
杭州,萧山-钱江世纪城,鸿宁路2327号,丽晶国际,3室1厅,1.标准平面,16,1800,付1押1,2019年7月17日
杭州,拱墅-汽车北站,"莫干山路,近花园岗街",复地壹中心,2室2厅,1.标准平面,85,3200,付3押1,2019年7月15日
杭州,余杭-未来科技城,文二西路,万科溪望(别墅),3室1厅,1.标准平面,16,1720,付1押1,2019年7月5日
杭州,滨江-浦沿,"浦沿路,近东冠路",新浦苑,3室1厅,1.标准平面,17,1440,付1押1,2019年7月11日
杭州,西湖-桂花城,紫荆花路388号,紫荆欣苑,3室1厅,1.标准平面,18,1500,付1押1,2019年7月11日
杭州,江干-四季青,"清江路,近杭海路",夕照新村,3室1厅,1.标准平面,19,1760,付1押1,2019年7月5日
杭州,余杭-未来科技城,"闲林港西路,近向往街",EFC欧美金融城,3室1厅,1.标准平面,16,1800,付1押1,2019年7月9日
杭州,钱塘新区-下沙江滨,"之江东路,近6号大街",保利江语海,3室1厅,1.标准平面,15,1400,付1押1,2019年7月17日
杭州,余杭-未来科技城,"海曙路,近桃花港路",五迪中心,3室1厅,1.标准平面,16,1680,付1押1,2019年7月5日
杭州,拱墅-湖墅,"潮王路,近古新路",远东新月公寓,3室1厅,1.标准平面,15,1640,付1押1,2019年7月4日
杭州,钱塘新区-金沙湖,"银沙路,近高沙路",新沙家园,1室厅,1.标准平面,18,1980,付1押1,2019年7月12日
杭州,滨江-钱江湾,西浦路1718号,超级星期天(公寓),1室1厅,1.标准平面,36,2000,付1押1,2019年7月15日
杭州,江干-丁桥,长睦路,北城枫景园,3室1厅,1.标准平面,16,1040,付1押1,2019年7月3日
杭州,滨江-浦沿,"滨文路,近火炬大道",滨文苑,3室1厅,1.标准平面,18,1860,付1押1,2019年7月4日
杭州,萧山-钱江世纪城,"市心北路,近皓月路",京港国际,3室1厅,1.标准平面,15,1300,付1押1,2019年7月15日
杭州,上城-近江,近江北路41-63号,华龙坊,3室1厅,1.标准平面,16,1720,付1押1,2019年7月15日
杭州,滨江-区政府,飞虹路,杭州壹号院,3室1厅,1.标准平面,17,1700,付1押1,2019年7月11日
杭州,钱塘新区-下沙江滨,学正街169号,中兴景冉佳园,3室1厅,1.标准平面,18,1460,付1押1,2019年7月11日
杭州,拱墅-申花,丰登街343号,拱苑小区,2室1厅,1.标准平面,71,3000,付3押1,2019年7月15日
杭州,萧山-北干,金鸡路333号,盛元蓝爵国际,3室1厅,1.标准平面,15,1020,付1押1,2019年7月11日
杭州,西湖-西湖三墩,厚仁路368号,三墩新天地香港城,3室1厅,1.标准平面,17,1480,付1押1,2019年7月11日
杭州,江干-城东新城,"新塘路,近明月桥路",德信东望,3室1厅,1.标准平面,18,1240,付1押1,2019年7月11日
杭州,下城-石桥,石桥路143号,金禾嘉苑,3室1厅,1.标准平面,18,1360,付1押1,2019年7月5日
杭州,西湖-黄龙,西溪路143号,黄龙雅苑,2室2厅,1.标准平面,110,6500,面议,2019年7月12日
杭州,拱墅-半山,丰源街61号,袁家新苑,3室1厅,1.标准平面,19,1620,付1押1,2019年6月21日
杭州,滨江-区政府,"春晓路,近滨兴路",中赢康康谷,3室1厅,1.标准平面,20,2200,付1押1,2019年7月5日
杭州,上城-城站,江城路849号,建国南苑(南1区),1室1厅,1.标准平面,32,2300,付3押2,2019年7月12日
杭州,余杭-勾庄,上园路,万科北宸之光拱宸,3室2厅,1.标准平面,90,2500,付3押1,2019年7月7日
杭州,上城-城站,"姚园寺巷,近建国南路",建国南苑北区,1室1厅,1.标准平面,46,2500,付2押1,2019年7月17日
杭州,西湖-紫金港,古墩路616号,同人精华,3室1厅,1.标准平面,15,1800,付1押1,2019年7月11日
杭州,江干-凯旋/采荷,采荷支路3号,采荷支路3号小区,3室1厅,1.标准平面,20,1500,付1押1,2019年7月11日
杭州,上城-佑圣观路,西湖大道,义井小区,2室1厅,1.标准平面,58,3800,付3押2,2019年7月10日
杭州,滨江-浦沿,东信大道,天鸿君邑(公寓),1室1厅,1.标准平面,54,4000,付3押1,2019年7月3日
杭州,拱墅-申花,萍水街380号,滨江万家花城一期,2室2厅,1.标准平面,89,3500,面议,2019年7月15日
杭州,拱墅-大关,"东教路,近绍兴路",七古登人家,3室1厅,1.标准平面,18,1840,付1押1,2019年7月11日
杭州,拱墅-半山,青城路,中兴御田清庭(别墅),3室1厅,1.标准平面,20,1620,付1押1,4213年29月14日
杭州,萧山-开发区,建设一路377号,明怡花苑,2室1厅,1.标准平面,70,3100,付2押1,2019年7月13日
杭州,杭州周边-嘉兴,新桥南路41号,新城南苑,3室1厅,1.标准平面,18,1760,付1押1,2019年7月15日
杭州,西湖-西湖三墩,紫荆花北路439号,秀里华庭,3室1厅,1.标准平面,15,1400,付1押1,2019年7月11日
杭州,江干-三里亭,"池塘庙路,近三里亭路",三里亭苑四区,3室1厅,1.标准平面,18,1280,付1押1,2019年7月11日
杭州,上城-近江,"衢江路,近富春路",耀江福村,3室1厅,1.标准平面,17,1560,付1押1,2019年7月17日
杭州,下城-凤起,岳家湾28号,金鹿雅园,1室厅,1.标准平面,18,2020,付1押1,2019年7月11日
杭州,下城-三塘,东新路695号,西文南苑,3室1厅,1.标准平面,20,1760,付1押1,2019年7月17日
杭州,上城-吴山,十五奎巷,茶啾弄小区,2室2厅,1.标准平面,66,4500,面议,2019年7月17日
杭州,下城-天水,屏风街94号,平安居,3室1厅,1.标准平面,16,1820,付1押1,2019年7月5日
杭州,下城-石桥,新汇路200号,天鼎公寓,3室1厅,1.标准平面,18,1200,付1押1,2019年7月11日
杭州,钱塘新区-下沙江滨,听涛路174号,野风海天城,3室1厅,1.标准平面,19,1360,付1押1,2019年7月17日
杭州,西湖-西溪,"五常港路,近双龙路",西溪里B园,3室1厅,1.标准平面,20,1780,付1押1,2019年7月10日
杭州,萧山-开发区,建设一路377号,明怡花苑,3室2厅,1.标准平面,120,3800,付3押1,2019年7月8日
杭州,西湖-文苑,古墩路242号,紫金公寓,3室2厅,1.标准平面,81.98,4000,付3押1,2019年7月14日
杭州,上城-望江,"江城路,近抚宁巷",上水陆寺巷,3室1厅,1.标准平面,20,2400,付1押1,2019年7月17日
杭州,西湖-古墩路,古墩路571号,星洲花园北区(别墅),3室1厅,1.标准平面,19,1100,付1押1,2019年7月11日
杭州,钱塘新区-金沙湖,"宝华路,近海通街",江景家园(一期),3室1厅,1.标准平面,16,1300,付1押1,2019年7月17日
杭州,萧山-北干,金城路333号,开元加州阳光小区,3室1厅,1.标准平面,18,1920,付1押1,2019年7月17日
杭州,下城-宝善,凤起路68号,东园大楼,3室1厅,1.标准平面,16,2420,付1押1,2019年7月5日
杭州,萧山-蜀山,晨晖路952号,广元公寓,2室1厅,1.标准平面,80,2500,付1押1,2019年7月10日
杭州,拱墅-拱宸桥,"永兴弄,近上塘路",蚕花园永兴坊,3室1厅,1.标准平面,18,1600,付1押1,2019年7月16日
杭州,江干-艮北新城,九和路516号,地铁绿城杨柳郡(商住楼),3室1厅,1.标准平面,16,1320,付1押1,2019年7月10日
杭州,钱塘新区-下沙江湾,学林街323号,宝龙云滨湾(别墅),3室1厅,1.标准平面,18,1360,付1押1,2019年7月17日
杭州,钱塘新区-下沙江滨,"27号大街,近10号大街",梦琴湾,3室1厅,1.标准平面,20,1500,付1押1,2019年7月11日
杭州,钱塘新区-下沙江滨,25号路88号,世茂江滨花园碧景湾,3室1厅,1.标准平面,17,1300,付1押1,2019年7月4日
杭州,拱墅-和睦,长征桥路49号,和新北苑,3室1厅,1.标准平面,19,1240,付1押1,2019年7月16日
杭州,江干-九堡科技园,九环路41-4号,万科魅力之城东区,3室1厅,1.标准平面,16,960,付1押1,2019年7月17日
杭州,拱墅-塘河,湖墅北路78号,哑吧弄小区,2室1厅,1.标准平面,16.38,1980,付1押1,2019年7月5日
杭州,余杭-乔司,桃安路103号,商贸苑小区(商住楼),3室1厅,1.标准平面,18,1100,付1押1,2019年7月9日
杭州,下城-朝晖,文晖路140号,文晖里新村,1室厅,1.标准平面,18,1980,付1押1,2019年7月15日
杭州,钱塘新区-金沙湖,"华景街,近银沙路",新元金沙家园,3室1厅,1.标准平面,18,1400,付1押1,2019年7月17日
杭州,萧山-北干,"山阴路,近永久路",山北新苑,2室1厅,1.标准平面,19.4,1280,付1押1,2019年7月11日
杭州,西湖-文新,丰潭路171号,物华小康居住区,3室1厅,1.标准平面,15,1920,付1押1,2019年7月9日
杭州,萧山-北干,"金城路,近风情大道",中国铁建江南国际城,3室1厅,1.标准平面,18,1860,付1押1,2019年7月4日
杭州,滨江-区政府,"扬帆路,近滨盛路",绿地旭辉城,4室2厅,1.标准平面,21,2060,付3押1,2019年6月28日
杭州,余杭-勾庄,好运街192号,长吴公寓,3室1厅,1.标准平面,19,1380,付1押1,2019年7月10日
杭州,西湖-文教,文二路170号,团校宿舍,3室1厅,1.标准平面,16,1600,付1押1,2019年7月9日
杭州,钱塘新区-下沙江湾,学源街339号,丽泽苑,1室1厅,1.标准平面,33,3150,付1押1,0238年27月06日
杭州,上城-近江,钱江路555号,日信国际,3室1厅,1.标准平面,18,1840,付1押1,2019年7月17日
杭州,滨江-浦沿,"滨文路,近火炬大道",滨文苑,3室1厅,1.标准平面,18,1860,付1押1,2019年7月17日
杭州,余杭-乔司,胜桑路,胜稼红星嘉园三区,3室1厅,1.标准平面,18,1640,付1押1,2019年7月9日
杭州,余杭-乔司,永乔路22号,丰惠家园,3室1厅,1.标准平面,17,1200,付1押1,2019年7月11日
杭州,江干-钱江新城,塘工局路,绿城留香园,3室1厅,1.标准平面,18,2420,付1押1,2019年7月17日
杭州,西湖-学军,莫干山路245号,邮电新村,2室1厅,1.标准平面,50,2800,面议,2019年6月29日
杭州,余杭-余杭三墩,"古墩路,近董家路",亲亲家园一期,3室2厅,1.标准平面,101,3000,付3押1,2019年7月7日
杭州,西湖-转塘,"科海路,近河山街",钱江BLOCK,1室1厅,1.标准平面,36,1800,付3押1,2019年7月12日
杭州,江干-五堡,德胜东路,原筑悦庄,3室1厅,1.标准平面,17,1240,付1押1,2019年7月17日
杭州,西湖-西湖三墩,西园四路4号,西港白领公寓,3室1厅,1.标准平面,16,960,付1押1,2019年7月11日
杭州,西湖-紫金港,"政清路,近余杭塘路",政苑小区D区,3室1厅,1.标准平面,16,1180,付1押1,2019年7月4日
杭州,余杭-勾庄,金恒路174号,赞成美树,3室1厅,1.标准平面,17,1320,付1押1,2019年7月11日
杭州,西湖-古墩路,文三西路469号,银桂花园,3室1厅,1.标准平面,18,1360,付1押1,2019年7月11日
杭州,江干-艮北新城,杭海路688号,九堡东方公寓,3室1厅,1.标准平面,18,2220,付1押1,2019年7月11日
杭州,下城-孩儿巷,孩儿巷33号,白泽弄小区,3室1厅,1.标准平面,18,1460,付1押1,2019年7月2日
杭州,钱塘新区-金沙湖,上沙路52号,东岸嘉园一区,3室1厅,1.标准平面,17,1480,付1押1,2019年7月11日
杭州,上城-望江,"望江路,近江城路",金狮苑,2室1厅,1.标准平面,65,2800,面议,2019年7月15日
杭州,滨江-区政府,月明路862号,钱塘春晓花园,4室2厅,1.标准平面,180.8,9000,面议,2019年7月16日
杭州,拱墅-汽车北站,"丰庆路,近祥符路",汉嘉申花郡,3室1厅,1.标准平面,19,1120,付1押1,2019年7月16日
杭州,拱墅-万达广场,花园岗街168号,易构街区,3室1厅,1.标准平面,16,1300,付1押1,2019年7月16日
杭州,余杭-余杭三墩,"古墩路,近金昌路",铭雅苑东区,3室2厅,1.标准平面,128,3800,面议,2019年7月15日
杭州,西湖-西湖三墩,"振华路,近三墩",乾成园,3室1厅,1.标准平面,16,1420,付1押1,2019年7月3日
